dataset,method,source_video,loss_rate_percent,frame_count,lost_frames,output_video,mask_csv,width,height,fps
regular,ours,/gpfs/home/zlin/topic/Tenth_drift_v4_15_output.mp4,0,210,0,/gpfs/home/zlin/topic/robustness_results/videos/regular_ours_loss_0.mp4,/gpfs/home/zlin/topic/robustness_results/masks/regular_loss_0.csv,512,512,30/1
regular,h264,/gpfs/home/zlin/topic/v4_h264_200k.mp4,0,210,0,/gpfs/home/zlin/topic/robustness_results/videos/regular_h264_loss_0.mp4,/gpfs/home/zlin/topic/robustness_results/masks/regular_loss_0.csv,512,512,30/1
regular,vp9,/gpfs/home/zlin/topic/v4_vp9_200k.mp4,0,210,0,/gpfs/home/zlin/topic/robustness_results/videos/regular_vp9_loss_0.mp4,/gpfs/home/zlin/topic/robustness_results/masks/regular_loss_0.csv,512,512,30/1
regular,ours,/gpfs/home/zlin/topic/Tenth_drift_v4_15_output.mp4,10,210,21,/gpfs/home/zlin/topic/robustness_results/videos/regular_ours_loss_10.mp4,/gpfs/home/zlin/topic/robustness_results/masks/regular_loss_10.csv,512,512,30/1
regular,h264,/gpfs/home/zlin/topic/v4_h264_200k.mp4,10,210,21,/gpfs/home/zlin/topic/robustness_results/videos/regular_h264_loss_10.mp4,/gpfs/home/zlin/topic/robustness_results/masks/regular_loss_10.csv,512,512,30/1
regular,vp9,/gpfs/home/zlin/topic/v4_vp9_200k.mp4,10,210,21,/gpfs/home/zlin/topic/robustness_results/videos/regular_vp9_loss_10.mp4,/gpfs/home/zlin/topic/robustness_results/masks/regular_loss_10.csv,512,512,30/1
regular,ours,/gpfs/home/zlin/topic/Tenth_drift_v4_15_output.mp4,20,210,42,/gpfs/home/zlin/topic/robustness_results/videos/regular_ours_loss_20.mp4,/gpfs/home/zlin/topic/robustness_results/masks/regular_loss_20.csv,512,512,30/1
regular,h264,/gpfs/home/zlin/topic/v4_h264_200k.mp4,20,210,42,/gpfs/home/zlin/topic/robustness_results/videos/regular_h264_loss_20.mp4,/gpfs/home/zlin/topic/robustness_results/masks/regular_loss_20.csv,512,512,30/1
regular,vp9,/gpfs/home/zlin/topic/v4_vp9_200k.mp4,20,210,42,/gpfs/home/zlin/topic/robustness_results/videos/regular_vp9_loss_20.mp4,/gpfs/home/zlin/topic/robustness_results/masks/regular_loss_20.csv,512,512,30/1
regular,ours,/gpfs/home/zlin/topic/Tenth_drift_v4_15_output.mp4,30,210,63,/gpfs/home/zlin/topic/robustness_results/videos/regular_ours_loss_30.mp4,/gpfs/home/zlin/topic/robustness_results/masks/regular_loss_30.csv,512,512,30/1
regular,h264,/gpfs/home/zlin/topic/v4_h264_200k.mp4,30,210,63,/gpfs/home/zlin/topic/robustness_results/videos/regular_h264_loss_30.mp4,/gpfs/home/zlin/topic/robustness_results/masks/regular_loss_30.csv,512,512,30/1
regular,vp9,/gpfs/home/zlin/topic/v4_vp9_200k.mp4,30,210,63,/gpfs/home/zlin/topic/robustness_results/videos/regular_vp9_loss_30.mp4,/gpfs/home/zlin/topic/robustness_results/masks/regular_loss_30.csv,512,512,30/1
